Lab_Source,Adsorbent,Adsorbate,Surface area(m2/g),Adsorption capacity(mg/g),Initial Concentration(ppm),RE,Contact Time (min.),Dose(g/L),RPM,Initial pH,T(K),Ref.,Unnamed: 12,Adsorbate_norm,Adsorbent_Family,Site_Density,Cap_Load_Ratio,LogTime,Mixing_Index,Thermo_Capacity,Driving_Force,Acidity_Strength,ion_charge,ion_ionic_radius_A,ion_hydrated_radius_A,ion_known,ion_potential,hydration_ratio,Regime,Ref_group,Adsorbent_group,Adsorbate_group
,Parthenium,Ni2+,8.34,54.35,70.0,97.5,720.0,1.0,300.0,5.0,298.0,Kadirvelu et al. (2002),https://www.sciencedirect.com/science/article/pii/S0960852401000931,Ni2+,composite_other,0.11914285714115509,0.7764285714174796,6.580639137284949,1974.1917411854847,16196.300000000001,69.99999993,2.0,2.0,0.69,4.04,1,2.898550720436883,5.855072455282505,Acidic_HighC0,Kadirvelu et al. (2002),Parthenium,Ni2+
,Orange peel,Ni2+,0.92,6.01,25.0,88.0,1440.0,1.0,180.0,7.0,298.0,Annadurai et al. (2002),https://iwaponline.com/wst/article/47/1/185/10681/Adsorption-of-heavy-metals-from-water-using-banana,Ni2+,composite_other,0.036799999998528,0.240399999990384,7.273092595999522,1309.156667279914,1790.98,24.999999974999998,0.0,2.0,0.69,4.04,1,2.898550720436883,5.855072455282505,Neutral_LowC0,Annadurai et al. (2002),Orange peel,Ni2+
,Orange peel,Cu2+,0.55,3.65,25.0,99.0,1440.0,1.0,180.0,7.0,298.0,Annadurai et al. (2002),https://iwaponline.com/wst/article/47/1/185/10681/Adsorption-of-heavy-metals-from-water-using-banana,Cu2+,composite_other,0.02199999999912,0.14599999999416,7.273092595999522,1309.156667279914,1087.7,24.999999974999998,0.0,2.0,0.73,4.19,1,2.739726023644211,5.739726019534623,Neutral_LowC0,Annadurai et al. (2002),Orange peel,Cu2+
,Orange peel,Zn2+,0.81,5.25,25.0,100.0,1440.0,1.0,180.0,7.0,298.0,Annadurai et al. (2002),https://iwaponline.com/wst/article/47/1/185/10681/Adsorption-of-heavy-metals-from-water-using-banana,Zn2+,composite_other,0.032399999998704,0.2099999999916,7.273092595999522,1309.156667279914,1564.5,24.999999974999998,0.0,2.0,0.74,4.3,1,2.702702699050402,5.810810802958364,Neutral_LowC0,Annadurai et al. (2002),Orange peel,Zn2+
,Sawdust,Cr6+,1.11,15.82,100.0,99.0,120.0,2.4,125.0,2.0,298.0,Dakiky et al. (2002),https://www.sciencedirect.com/science/article/pii/S109301910100079X,Cr6+,biomass,0.0266399999997336,0.158199999998418,4.795790545596741,599.4738181995926,4714.36,41.666666649305554,5.0,6.0,0.44,4.6,1,13.6363636053719,10.454545430785123,Acidic_HighC0,Dakiky et al. (2002),Sawdust,Cr6+
,Maple sawdust,Cr6+,0.36,5.1,10.0,90.3,5.0,50.0,3000.0,5.0,298.0,Yu et al. (2003),https://www.sciencedirect.com/science/article/pii/S0304389403000086,Cr6+,biomass,1.79999999982,0.5099999999489999,1.791759469228055,5375.278407684164,1519.8,0.19999999999600002,2.0,6.0,0.44,4.6,1,13.6363636053719,10.454545430785123,Acidic_LowC0,Yu et al. (2003),Maple sawdust,Cr6+
,PSA,Zn2+,2.14,13.9,32.7,99.0,1440.0,10.0,500.0,4.8,298.0,Bansode et al. (2003),https://www.sciencedirect.com/science/article/pii/S0960852403000646,Zn2+,composite_other,0.6544342507445128,0.4250764525863891,7.273092595999522,3636.546297999761,4142.2,3.2699999996730003,2.2,2.0,0.74,4.3,1,2.702702699050402,5.810810802958364,Acidic_LowC0,Bansode et al. (2003),PSA,Zn2+
,Polyamine-functionalised,Cd,39.98,35.3,100.0,70.0,2880.0,1.0,180.0,6.25,298.0,Alothman & Apblett (2010),https://www.sciencedirect.com/science/article/pii/S0304389410008125,Cd2+,composite_other,0.39979999999600196,0.35299999999646997,7.9658927350845286,1433.8606923152151,10519.4,99.99999989999999,0.75,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Alothman & Apblett (2010),Polyamine-functionalised,Cd2+
,α-Ketoglutaricacid-modified magnetic chitosan,Cd,30.88,201.2,1.0,93.0,90.0,0.04,180.0,6.0,298.0,Yang et al. (2014b),https://www.sciencedirect.com/science/article/pii/S0169433213023088,Cd2+,polymer,1.2351999987648,201.19999979879998,4.51085950651685,811.9547111730329,59957.6,24.999999375000016,1.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_LowC0,Yang et al. (2014b),α-Ketoglutaricacid-modified magnetic chitosan,Cd2+
,Electrospun nanofibre membrane of PEO/chitosan,Cd,38.08,248.1,525.0,72.0,120.0,1.0,180.0,5.0,298.0,Aliabadi et al. (2013),https://www.sciencedirect.com/science/article/pii/S1385894713000612,Cd2+,polymer,0.07253333333319517,0.4725714285705284,4.795790545596741,863.2422982074135,73933.8,524.999999475,2.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Aliabadi et al. (2013),Electrospun nanofibre membrane of PEO/chitosan,Cd2+
,Nano-hydroxyapatite/chitosan composite,Cd,14.54,92.0,300.0,92.0,90.0,5.0,180.0,5.6,298.0,Salah et al. (2014),https://www.sciencedirect.com/science/article/pii/S1876107013002691,Cd2+,polymer,0.24233333333252552,0.30666666666564446,4.51085950651685,811.9547111730329,27416.0,59.999999988,1.4000000000000004,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Salah et al. (2014),Nano-hydroxyapatite/chitosan composite,Cd2+
,Polyaniline grafted cross-linked chitosan beads,Cd,22.25,145.0,130.4,99.6,120.0,4.5,180.0,6.0,298.0,Igberase & Osifo (2015),https://www.sciencedirect.com/science/article/pii/S1226086X14006728,Cd2+,polymer,0.7678297545953388,1.1119631901755218,4.795790545596741,863.2422982074135,43210.0,28.97777777133827,1.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Igberase & Osifo (2015),Polyaniline grafted cross-linked chitosan beads,Cd2+
,O-carboxymethyl functionalisation of chitosan,Cd,5.58,35.3,674.46,95.0,1440.0,1.0,125.0,10.0,298.0,Borsagli et al. (2015),https://www.sciencedirect.com/science/article/pii/S1381514815300535,Cd2+,polymer,0.008273285294890322,0.052338166829682495,7.273092595999522,909.1365744999403,10519.4,674.45999932554,3.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Neutral_HighC0,Borsagli et al. (2015),O-carboxymethyl functionalisation of chitosan,Cd2+
,Copolymer of dimethylaminoethyl methacrylate with graphene oxide,Cr,12.65,82.4,50.0,93.0,45.0,1.0,160.0,1.1,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0969806X15300943,Cr3+,carbon_based,0.25299999999494005,1.6479999999670403,3.828641396489095,612.5826234382553,24555.2,49.999999949999996,5.9,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Copolymer of dimethylaminoethyl methacrylate with graphene oxide,Cr3+
,Graphene sand composite (GSC) ,Cr,438.83,2859.38,14.0,93.0,90.0,10.0,125.0,1.5,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S2214714415000069,Cr3+,carbon_based,313.44999997761073,204.2414285568399,4.51085950651685,563.8574383146063,852095.24,1.39999999986,5.5,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Graphene sand composite (GSC),Cr3+
,Modified graphene (GN) with cetyltrimethylammonium bromide ,Cr,3.31,21.57,50.0,98.2,60.0,400.0,150.0,2.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0021979712013379,Cr3+,carbon_based,26.4799999994704,0.431399999991372,4.110873864173311,616.6310796259967,6427.86,0.1249999999996875,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Modified graphene (GN) with cetyltrimethylammonium bromide,Cr3+
,Acrylonitriledivinylbenzene copolymer,Cr,15.53,101.2,30.0,80.0,420.0,0.6,125.0,2.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S1385894712001623,Cr3+,polymer,0.31059999998964666,3.373333333220889,6.042632833682381,755.3291042102976,30157.600000000002,49.999999916666674,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Acrylonitriledivinylbenzene copolymer,Cr3+
,Syzygium jambolanum nut carbon ,Cr,2.49,35.3,60.0,100.0,240.0,5.0,125.0,2.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://pdf.sciencedirectassets.com/270397/1-s2.0-S1878029611X00038/1-s2.0-S1878029611000582/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEGQaCXVzLWVhc3QtMSJHMEUCIQDO1n7hWF9K1L37NqUaJC3g9InFy%2F9sv1WYjhaz5y8gywIgBHq7i5EPRX0KY%2F3hfzHdGYcwRgXpUprfr9u086KFuKwqvAUI3P%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDFxlCb6jnQsOGc7EOCqQBTU5L8NOlKA2ePBgM%2Bmn%2FXx1ek4rcJ7mbAX0t1%2Bj%2FT2RaIkmqnFu4o%2BKRihRWUuIlt6RI4crs6oZqZqYhT3sMnZ2RCyM770feCUOUjDmOJwhJfzcMRcuwHPkxUdK237X%2F9UtMW8WNqSivzWdtjjadJBCRRsmPhVzVgaZc8ErOWHC%2Btbc%2BEBxljRWYBC0MM8fFxCmagJKTpH84v8DscfpsdLDyOnUwS5pK%2BMl2ReTNWoY6EbaAXyNk1PuUSkV5S%2FcKJXXi2ThmK6ilUhBz%2FCApOiY%2FGVLBBy1HkW1CMKZO4jhWXTSE%2Bz%2BJ8V1N37WwZCFqSeeSmd4d0GWE7843JsIyNmfeC2DLjg07SJMfX%2BR0DyPmAliRXiiNq6rhlXJtIabSkI8j5ev8Z%2BgbpVDNwMsjCTrL%2FoVdsxJzsT6VG2Aqa%2BlOfET3e%2F%2FStQBPxWRz21UNCtKyed%2FmwAhn1A4%2FFzxwaF41TM5OOX%2BbmnlK1JOx1hEOUWyK3GXacoXwY2aGph9EaaA6qJYJXq2K64SdD06gQGoY7D%2BMU5FtdUAVkbI6Ptp6YohVTtJRvgdSy%2F%2FyrYWH55CN%2FlYxgEtODz%2FumTz7d2snQZycGT9a3qAl4NKfkG4bLtlv2EQE85MgSrvZ%2FN8LTe4ULG1%2BnzCxriZ3Oe6T1Lth4H4dM7GuBf8UM8IoMMjPIqEFYjJxt62FcshBntGNyDHJazxTlEiS%2FmTRF9vj8UI1V4e5zZaeMk3nawzHEHnXuLBIatHJHTipteOWZhVMybDHnOG1t49loge2NcOU7PXy0bGaHxngs4KOOJypJelRbys%2B34hDQ6i7aYHw6v9%2BvJXF%2FBTs3K%2B%2FHAgJ25XPgSKi6XSDutxHnTGBInh8%2Fl4MO%2F06r8GOrEBDYdjVVUx2B7kfswkrME2WOYNqxE2y0t8wssyKGHkDuUhIec7Xhu0wyQF0nMsg0hKd0On0u3RUbV9DYYxRYtSB3KoiyGbafRqDq%2F%2BdcVjDpmLIbZeSRp4eD14JQ629ixBG5ERyN%2FfQ3HvVX%2BzT4BLwtsnPitYLluJ94PvpUP6tCRShX1cylo7SZIAKCBL%2BcChn3v1zPYyVDxNr%2B1gBLSV%2BKR71MM1FfxyT%2FZIolm6IWOU&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250412T205608Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYY6X6VEK3%2F20250412%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=24e08edada14396550f03c45292d515fc2021f6bed364fca413042a79d882fa0&hash=524023ce18a43ffa713137d40eace74b06916bc128103061960457bce954216c&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1878029611000582&tid=spdf-976f1412-40f5-4c7c-9247-d8ae20eb4e89&sid=f1ec00f357fb934a344b89353eba5ae60275gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1308595607560652065204&rr=92f5a0e5c8d1935f&cc=in,Cr3+,carbon_based,0.2074999999965417,0.5883333333235278,5.484796933490655,685.5996166863318,10519.4,11.9999999976,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Syzygium jambolanum nut carbon,Cr3+
,Green alga Ulva lactuca ,Cr,17.24,112.36,125.0,98.0,40.0,2.0,125.0,1.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0304389407002506,Cr3+,biomass,0.27583999999779324,0.8988799999928089,3.713572066704308,464.1965083380385,33483.28,62.49999996875,6.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Green alga Ulva lactuca,Cr3+
,Tamarind wood ,Cr,1.97,28.019,30.0,28.0,40.6,2.0,125.0,6.5,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S1385894708007857,Cr3+,biomass,0.13133333332895555,0.9339666666355344,3.728100167267218,466.0125209084022,8349.662,14.9999999925,0.5,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Tamarind wood,Cr3+
,Pterocladia capillacea ,Cr,10.13,66.0,40.0,100.0,120.0,6.5,200.0,1.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S1878535211000207,Cr3+,composite_other,1.646124999958847,1.6499999999587502,4.795790545596741,959.1581091193483,19668.0,6.153846152899408,6.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Pterocladia capillacea,Cr3+
,Zizania caduciflora ,Cr,0.41,2.7,30.0,84.8,48.0,0.8,125.0,2.5,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S1385894714001946,Cr3+,composite_other,0.010933333332968889,0.08999999999700001,3.8918202981106265,486.4775372638283,804.6,37.499999953125,4.5,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Zizania caduciflora,Cr3+
,Prawn shell ,Cr,15.44,100.6,75.0,98.0,31.4,1.0,160.0,5.5,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S1385894712000940,Cr3+,composite_other,0.20586666666392175,1.3413333333154487,3.4781584227982836,556.5053476477253,29978.8,74.999999925,1.5,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Prawn shell,Cr3+
,Composite of carbon nanotubes and activated alumina ,Cr,40.59,264.5,100.0,95.0,240.0,2.5,125.0,2.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,,Cr3+,carbon_based,1.0147499999898526,2.64499999997355,5.484796933490655,685.5996166863318,78821.0,39.999999984,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Composite of carbon nanotubes and activated alumina,Cr3+
,Iron oxide incorporated into silica derived from rice husk ,Cr,9.77,63.69,175.0,71.0,120.0,2.0,125.0,2.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0263876213000919,Cr3+,mineral_oxide,0.11165714285650481,0.36394285714077745,4.795790545596741,599.4738181995926,18979.62,87.49999995625,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Iron oxide incorporated into silica derived from rice husk,Cr3+
,Modified rice husk ,Cr,2.98,42.378,190.0,95.0,5760.0,8.5,125.0,6.8,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,"https://www.sciencedirect.com/science/article/pii/S246822762300090X#:~:text=The%20current%20work%20study%20the,transform%20infrared%20(FTIR)%20spectroscopy.",Cr3+,biomass,0.13331578947298256,0.223042105261984,8.658866349732383,1082.358293716548,12628.644,22.35294117384083,0.20000000000000018,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Modified rice husk,Cr3+
,Coconut coir pith modified by using surfactant cetyltrimethyl ammonium bromide,Cr,4.6,29.96,30.0,98.0,120.0,1.0,125.0,8.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://pdf.sciencedirectassets.com/785634/1-s2.0-S1944398615X57201/1-s2.0-S1944398624027875/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEGUaCXVzLWVhc3QtMSJHMEUCIQDfTMOjGghKbaT%2F7K9k2niz7m%2BHHRH7Oku7jb%2FQkLkKrQIgV6CTwudozDSXZHHhsMSTZl56w6WJRrCiIFcjUmq0ExwqvAUI3f%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDP7eh9E9XWdhx90ziSqQBbZYLJVRm7rifLJbvIW16JqabpNJTcK467C8ee3rdmV1jDYo2XC4S%2BTfs3fJIeRSpwOngRjIMe8B6iZTAFNHOvKsDntDSVwzdBRF3CwzE0Xu8giURRN0u1brK2NxkYHxk%2BUnMlaHhSH8mkBX3kv1FggliHCZxSQp2Wd%2BOJnCbDTC4BziwgPTFO9VtZyhBbsaT3komKgNv90d85Zqs5khmnSQuMFiluw7OtuhvBPHn16rIkM3SpIRonb8WYgFrf2kwlcgNBfQWbD%2FqrjDGYCN%2B7Cg5NiIULtfINJhCAxHdrr%2BEfU4VbxfMnDhFxPZbhTJ4DHU%2BXH4w8O1NXgPWfGkJnTKrAuME5L0hGgpXcKtCbuNCTBmES0MURjX0IOtO0I34jxP4HXSLbg3vn8pP8XrZy7SunwtDxNS9hsDoxeBJVd6UES8A9%2BbfuU9vYIP0kjah0Rv9IkcCcXu449%2BbFf%2BOgilprkKKBsbHPRCnJWA%2BRubWqbOjZQ0sAp%2BTPs2TPQV0ODUiTo9gGtwJ8gl9tgG8%2B834UkI2dBfas%2Fwy4TWFyRko%2BhD4pYxtLh4ehYyPfz7oOy0p5TfbhdT84N%2BSb27YtSSe%2Bhh%2Baichnf34fftbGqrhqAdjf239tzBVLlLDjIw3kRp2d6bBr3lX%2BzwH3mVEJdVHjZArEsUnR3mImFPtQWu83Z%2BG0H3HvGdqEZrUaLheYd781SsSeoE%2FahE7YKeB2lb6hOsoH6o6m0Xl29%2FtCcyhmP4CKHKuQy%2BqfZmas7SqRiFxMbciPuonjrtqGkXVRudPiV5LDeVdRC9URQMdpRAfn69fWXL756wNwmpmMao8l%2FYP1p7PyePFMVeCzb54UXrXIJjHiQCajEf9C1kygsDMLKP678GOrEBO4%2BC6d2Jv4ZTntJ7KmDapLkLbxXFp5t9cG%2FYbEOwKhNTSKQregqmXdxX5doF2Zyh67ZULoYtN8vBc2DvAYwkgJ3YNs%2FqnQV9pq4iil%2BFz8by4SnlmdTUVMEPKgQLqgPvZnF0ayb25jQfDWT8ZgoRTX2mfibm8Hgfk5p3wFd47xLWoRmSeqgcnPT8S7KUSu09dAphH9Axz5P3u7%2FRyM3OEKDdjAXhNaHB5NwSdWXiEaaq&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250412T214349Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYTRGM7N6Y%2F20250412%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1fe195b7472ad6b3041d550e12e3188dd874b499566ac2a2bb71c2aae85663bd&hash=182ba9b4498ace2b5f21b65850f0220db0ee39869d047f4c2e631d9519342ec0&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1944398624027875&tid=spdf-03ca0139-10b8-48f3-aa72-a08b4b45c151&sid=f1ec00f357fb934a344b89353eba5ae60275gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1308595607560254005153&rr=92f5e6c64ab49373&cc=in,Cr3+,composite_other,0.15333333332822222,0.9986666666333778,4.795790545596741,599.4738181995926,8928.08,29.999999969999998,1.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Neutral_LowC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Coconut coir pith modified by using surfactant cetyltrimethyl ammonium bromide,Cr3+
,Coconut coir pith modified by using hexadecyltrimethyl ammonium bromide surfactant,Cr,11.71,76.3,60.0,96.0,90.0,3.25,200.0,2.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0960852407004440,Cr3+,composite_other,0.6342916666560953,1.2716666666454723,4.51085950651685,902.17190130337,22737.399999999998,18.461538455857987,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Coconut coir pith modified by using hexadecyltrimethyl ammonium bromide surfactant,Cr3+
,Acinetobacter haemolyticus bacteria inside sugarcane bagasse ,Cr,2.49,35.3,55.0,90.0,2880.0,1.0,125.0,7.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0964830515000815,Cr3+,composite_other,0.04527272727190414,0.6418181818065124,7.9658927350845286,995.7365918855661,10519.4,54.999999945,0.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Neutral_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Acinetobacter haemolyticus bacteria inside sugarcane bagasse,Cr3+
,Succinic acid modified sugarcane bagasse ,Cr,2.49,35.3,50.0,92.0,60.0,20.0,125.0,2.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0960852406002100,Cr3+,composite_other,0.9959999999800802,0.70599999998588,4.110873864173311,513.859233021664,10519.4,2.499999999875,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Succinic acid modified sugarcane bagasse,Cr3+
,Sugarcane bagasse activated with zinc chloride ,Cr,2.49,35.3,77.5,87.0,60.0,6.85,125.0,8.58,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0011916411002372,Cr3+,carbon_based,0.22008387096490212,0.45548387096186466,4.110873864173311,513.859233021664,10519.4,11.313868611487027,1.58,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Neutral_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Sugarcane bagasse activated with zinc chloride,Cr3+
,Wheat bran modified using sulphuric acid ,Cr,20.41,133.0,50.0,99.9,300.0,2.0,125.0,1.5,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://pubmed.ncbi.nlm.nih.gov/15369289/,Cr3+,composite_other,0.8163999999836721,2.6599999999468,5.707110264748875,713.3887830936094,39634.0,24.9999999875,5.5,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Wheat bran modified using sulphuric acid,Cr3+
,Wheat bran modified using tartaric acid ,Cr,0.81,5.28,52.0,90.0,440.0,20.0,125.0,2.2,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0308814614002921,Cr3+,composite_other,0.3115384615324705,0.10153846153650889,6.089044875446846,761.1306094308558,1573.44,2.59999999987,4.8,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Wheat bran modified using tartaric acid,Cr3+
,Modified coir pith using the surfactant hexadecyltrimethylammonium bromide ,Cr,11.71,76.3,60.0,90.0,60.0,50.0,125.0,2.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0960852407004440,Cr3+,composite_other,9.758333333170695,1.2716666666454723,4.110873864173311,513.859233021664,22737.399999999998,1.199999999976,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Modified coir pith using the surfactant hexadecyltrimethylammonium bromide,Cr3+
,Coconut coir and derived char ,Cr,10.8,70.4,255.0,70.0,7200.0,1.0,125.0,3.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S0960852411015859,Cr3+,composite_other,0.042352941176304504,0.27607843137146637,8.881975184248867,1110.2468980311085,20979.2,254.99999974499997,4.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Coconut coir and derived char,Cr3+
,Modified orange peel ,Cr,6.22,40.56,250.0,82.0,4320.0,4.0,125.0,4.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,,Cr3+,composite_other,0.09951999999960193,0.16223999999935104,8.371242135931933,1046.4052669914915,12086.880000000001,62.499999984375,3.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Modified orange peel,Cr3+
,Pre-treated orange peel ,Cr,0.34,4.79,10.0,51.0,260.0,10.0,125.0,3.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,,Cr3+,composite_other,0.33999999996600005,0.4789999999521,5.564520407322694,695.5650509153368,1427.42,0.9999999999,4.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Pre-treated orange peel,Cr3+
,Composite of iron nanoparticles into orange peel pith ,Cr,0.13,1.9,30.0,71.0,60.0,5.0,125.0,1.0,298.0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,https://www.sciencedirect.com/science/article/pii/S1385894711009466,Cr3+,composite_other,0.021666666665944447,0.06333333333122222,4.110873864173311,513.859233021664,566.1999999999999,5.9999999988,6.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,Composite of iron nanoparticles into orange peel pith,Cr3+
